yourlist:M20200514A94466D2655679D1FD8953E075198DA8C1D4D0E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
RCN1	Q15293	RCN1_HUMAN	reviewed	Reticulocalbin-1	RCN1 RCN	Homo sapiens (Human)	331
WT1	P19544	WT1_HUMAN	reviewed	Wilms tumor protein (WT33)	WT1	Homo sapiens (Human)	449
WT1-AS	Q06250	WIT1_HUMAN	reviewed	Putative Wilms tumor upstream neighbor 1 gene protein (WIT-1) (Wilms tumor-associated antisense RNA)	WT1-AS WIT1	Homo sapiens (Human)	92
CCDC73	Q6ZRK6	CCD73_HUMAN	reviewed	Coiled-coil domain-containing protein 73 (Sarcoma antigen NY-SAR-79)	CCDC73	Homo sapiens (Human)	1079
PRRG4	Q9BZD6	TMG4_HUMAN	reviewed	Transmembrane gamma-carboxyglutamic acid protein 4 (Proline-rich gamma-carboxyglutamic acid protein 4) (Proline-rich Gla protein 4)	PRRG4 PRGP4 TMG4	Homo sapiens (Human)	226
QSER1	Q2KHR3	QSER1_HUMAN	reviewed	Glutamine and serine-rich protein 1	QSER1	Homo sapiens (Human)	1735
DEPDC7	Q96QD5	DEPD7_HUMAN	reviewed	DEP domain-containing protein 7 (Protein TR2/D15)	DEPDC7	Homo sapiens (Human)	511
TCP11L1	Q9NUJ3	T11L1_HUMAN	reviewed	T-complex protein 11-like protein 1	TCP11L1	Homo sapiens (Human)	509
CSTF3	Q12996	CSTF3_HUMAN	reviewed	Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)	CSTF3	Homo sapiens (Human)	717
KIAA1549L	Q6ZVL6	K154L_HUMAN	reviewed	UPF0606 protein KIAA1549L	KIAA1549L C11orf41 C11orf69	Homo sapiens (Human)	1849
LMO2	P25791	RBTN2_HUMAN	reviewed	Rhombotin-2 (Cysteine-rich protein TTG-2) (LIM domain only protein 2) (LMO-2) (T-cell translocation protein 2)	LMO2 RBTN2 RBTNL1 RHOM2 TTG2	Homo sapiens (Human)	158
NAT10	Q9H0A0	NAT10_HUMAN	reviewed	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10) (N-acetyltransferase-like protein) (hALP)	NAT10 ALP KIAA1709	Homo sapiens (Human)	1025
CAT	P04040	CATA_HUMAN	reviewed	Catalase (EC 1.11.1.6)	CAT	Homo sapiens (Human)	527
ELF5	Q9UKW6	ELF5_HUMAN	reviewed	ETS-related transcription factor Elf-5 (E74-like factor 5) (Epithelium-restricted ESE-1-related Ets factor) (Epithelium-specific Ets transcription factor 2) (ESE-2)	ELF5 ESE2	Homo sapiens (Human)	265
APIP	Q96GX9	MTNB_HUMAN	reviewed	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109) (APAF1-interacting protein) (hAPIP)	APIP CGI-29	Homo sapiens (Human)	242
PDHX	O00330	ODPX_HUMAN	reviewed	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)	PDHX PDX1	Homo sapiens (Human)	501
CD44	P16070	CD44_HUMAN	reviewed	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)	742
PRR5L	Q6MZQ0	PRR5L_HUMAN	reviewed	Proline-rich protein 5-like (Protein observed with Rictor-2) (Protor-2)	PRR5L PROTOR2	Homo sapiens (Human)	368
LRRC4C	Q9HCJ2	LRC4C_HUMAN	reviewed	Leucine-rich repeat-containing protein 4C (Netrin-G1 ligand) (NGL-1)	LRRC4C KIAA1580 NGL1 UNQ292/PRO331	Homo sapiens (Human)	640
HSD17B12	Q53GQ0	DHB12_HUMAN	reviewed	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 12C member 1)	HSD17B12 SDR12C1	Homo sapiens (Human)	312
ALKBH3	Q96Q83	ALKB3_HUMAN	reviewed	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (EC 1.14.11.54) (Alkylated DNA repair protein alkB homolog 3) (hABH3) (DEPC-1) (Prostate cancer antigen 1)	ALKBH3 ABH3 DEPC1	Homo sapiens (Human)	286
ACCSL	Q4AC99	1A1L2_HUMAN	reviewed	Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2 (ACC synthase-like protein 2)	ACCSL	Homo sapiens (Human)	568
ACCS	Q96QU6	1A1L1_HUMAN	reviewed	1-aminocyclopropane-1-carboxylate synthase-like protein 1 (ACC synthase-like protein 1)	ACCS PHACS	Homo sapiens (Human)	501
EXT2	Q93063	EXT2_HUMAN	reviewed	Exostosin-2 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 2) (Putative tumor suppressor protein EXT2)	EXT2	Homo sapiens (Human)	718
ALX4	Q9H161	ALX4_HUMAN	reviewed	Homeobox protein aristaless-like 4	ALX4 KIAA1788	Homo sapiens (Human)	411
CD82	P27701	CD82_HUMAN	reviewed	CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1) (Suppressor of tumorigenicity 6 protein) (Tetraspanin-27) (Tspan-27) (CD antigen CD82)	CD82 KAI1 SAR2 ST6 TSPAN27	Homo sapiens (Human)	267
PRDM11	Q9NQV5	PRD11_HUMAN	reviewed	PR domain-containing protein 11 (EC 2.1.1.-)	PRDM11 PFM8	Homo sapiens (Human)	511
CHST1	O43916	CHST1_HUMAN	reviewed	Carbohydrate sulfotransferase 1 (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 1) (GST-1) (Keratan sulfate Gal-6 sulfotransferase) (KS6ST) (KSGal6ST) (KSST)	CHST1	Homo sapiens (Human)	411
PEX16	Q9Y5Y5	PEX16_HUMAN	reviewed	Peroxisomal membrane protein PEX16 (Peroxin-16) (Peroxisomal biogenesis factor 16)	PEX16	Homo sapiens (Human)	336
LARGE2	Q8N3Y3	LARG2_HUMAN	reviewed	LARGE xylosyl- and glucuronyltransferase 2 (EC 2.4.-.-) (Glycosyltransferase-like 1B) [Includes: Xylosyltransferase LARGE2 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE2 (EC 2.4.1.-)]	LARGE2 GYLTL1B PP5656	Homo sapiens (Human)	721
CREB3L1	Q96BA8	CR3L1_HUMAN	reviewed	Cyclic AMP-responsive element-binding protein 3-like protein 1 (cAMP-responsive element-binding protein 3-like protein 1) (Old astrocyte specifically-induced substance) (OASIS) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 1]	CREB3L1 OASIS PSEC0238	Homo sapiens (Human)	519
DGKZ	Q13574	DGKZ_HUMAN	reviewed	Diacylglycerol kinase zeta (DAG kinase zeta) (EC 2.7.1.107) (Diglyceride kinase zeta) (DGK-zeta)	DGKZ DAGK6	Homo sapiens (Human)	1117
CHRM4	P08173	ACM4_HUMAN	reviewed	Muscarinic acetylcholine receptor M4	CHRM4	Homo sapiens (Human)	479
ARHGAP1	Q07960	RHG01_HUMAN	reviewed	Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP)	ARHGAP1 CDC42GAP RHOGAP1	Homo sapiens (Human)	439
CKAP5	Q14008	CKAP5_HUMAN	reviewed	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)	CKAP5 KIAA0097	Homo sapiens (Human)	2032
LRP4	O75096	LRP4_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)	LRP4 KIAA0816 LRP10 MEGF7	Homo sapiens (Human)	1905
ARFGAP2	Q8N6H7	ARFG2_HUMAN	reviewed	ADP-ribosylation factor GTPase-activating protein 2 (ARF GAP 2) (GTPase-activating protein ZNF289) (Zinc finger protein 289)	ARFGAP2 ZNF289 Nbla10535	Homo sapiens (Human)	521
DDB2	Q92466	DDB2_HUMAN	reviewed	DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2)	DDB2	Homo sapiens (Human)	427
ACP2	P11117	PPAL_HUMAN	reviewed	Lysosomal acid phosphatase (LAP) (EC 3.1.3.2)	ACP2	Homo sapiens (Human)	423
NR1H3	Q13133	NR1H3_HUMAN	reviewed	Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear receptor subfamily 1 group H member 3)	NR1H3 LXRA	Homo sapiens (Human)	447
MADD	Q8WXG6	MADD_HUMAN	reviewed	MAP kinase-activating death domain protein (Differentially expressed in normal and neoplastic cells) (Insulinoma glucagonoma clone 20) (Rab3 GDP/GTP exchange factor)	MADD DENN IG20 KIAA0358	Homo sapiens (Human)	1647
MYBPC3	Q14896	MYPC3_HUMAN	reviewed	Myosin-binding protein C, cardiac-type (Cardiac MyBP-C) (C-protein, cardiac muscle isoform)	MYBPC3	Homo sapiens (Human)	1274
SLC39A13	Q96H72	S39AD_HUMAN	reviewed	Zinc transporter ZIP13 (LIV-1 subfamily of ZIP zinc transporter 9) (LZT-Hs9) (Solute carrier family 39 member 13) (Zrt- and Irt-like protein 13) (ZIP-13)	SLC39A13 ZIP13	Homo sapiens (Human)	371
FAM180B	Q6P0A1	F180B_HUMAN	reviewed	Protein FAM180B	FAM180B	Homo sapiens (Human)	183
C1QTNF4	Q9BXJ3	C1QT4_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 4 (C1q/TNF-related protein 4)	C1QTNF4 CTRP4	Homo sapiens (Human)	329
MTCH2	Q9Y6C9	MTCH2_HUMAN	reviewed	Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein)	MTCH2 MIMP HSPC032	Homo sapiens (Human)	303
AGBL2	Q5U5Z8	CBPC2_HUMAN	reviewed	Cytosolic carboxypeptidase 2 (EC 3.4.17.-) (ATP/GTP-binding protein-like 2)	AGBL2 CCP2	Homo sapiens (Human)	902
NUP160	Q12769	NU160_HUMAN	reviewed	Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Nucleoporin Nup160)	NUP160 KIAA0197 NUP120	Homo sapiens (Human)	1436
PTPRJ	Q12913	PTPRJ_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (Density-enhanced phosphatase 1) (DEP-1) (HPTP eta) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (CD antigen CD148)	PTPRJ DEP1	Homo sapiens (Human)	1337
OR4B1	Q8NGF8	OR4B1_HUMAN	reviewed	Olfactory receptor 4B1 (OST208) (Olfactory receptor OR11-106)	OR4B1	Homo sapiens (Human)	309
OR4X2	Q8NGF9	OR4X2_HUMAN	reviewed	Olfactory receptor 4X2 (Olfactory receptor OR11-105)	OR4X2	Homo sapiens (Human)	303
OR4X1	Q8NH49	OR4X1_HUMAN	reviewed	Olfactory receptor 4X1 (Olfactory receptor OR11-104)	OR4X1	Homo sapiens (Human)	305
OR4A16	Q8NH70	O4A16_HUMAN	reviewed	Olfactory receptor 4A16 (Olfactory receptor OR11-117)	OR4A16	Homo sapiens (Human)	328
OR4C15	Q8NGM1	OR4CF_HUMAN	reviewed	Olfactory receptor 4C15 (Olfactory receptor OR11-127) (Olfactory receptor OR11-134)	OR4C15	Homo sapiens (Human)	316
OR4C16	Q8NGL9	OR4CG_HUMAN	reviewed	Olfactory receptor 4C16 (Olfactory receptor OR11-135)	OR4C16	Homo sapiens (Human)	310
OR4C11	Q6IEV9	OR4CB_HUMAN	reviewed	Olfactory receptor 4C11 (Olfactory receptor OR11-136)	OR4C11 OR4C11P	Homo sapiens (Human)	310
OR5D13	Q8NGL4	OR5DD_HUMAN	reviewed	Olfactory receptor 5D13 (Olfactory receptor OR11-142) (Olfactory receptor OR11-148)	OR5D13	Homo sapiens (Human)	314
OR5D14	Q8NGL3	OR5DE_HUMAN	reviewed	Olfactory receptor 5D14 (Olfactory receptor OR11-141) (Olfactory receptor OR11-150)	OR5D14	Homo sapiens (Human)	314
OR5L1	Q8NGL2	OR5L1_HUMAN	reviewed	Olfactory receptor 5L1 (OST262) (Olfactory receptor OR11-151)	OR5L1	Homo sapiens (Human)	311
OR5D18	Q8NGL1	OR5DI_HUMAN	reviewed	Olfactory receptor 5D18 (Olfactory receptor OR11-143) (Olfactory receptor OR11-152)	OR5D18	Homo sapiens (Human)	313
OR5D16	Q8NGK9	OR5DG_HUMAN	reviewed	Olfactory receptor 5D16 (Olfactory receptor OR11-154)	OR5D16	Homo sapiens (Human)	328
OR5W2	Q8NH69	OR5W2_HUMAN	reviewed	Olfactory receptor 5W2 (Olfactory receptor 5W3) (Olfactory receptor OR11-155)	OR5W2 OR5W2P OR5W3P	Homo sapiens (Human)	310
OR5F1	O95221	OR5F1_HUMAN	reviewed	Olfactory receptor 5F1 (Olfactory receptor 11-10) (OR11-10) (Olfactory receptor OR11-167)	OR5F1	Homo sapiens (Human)	314
OR5AS1	Q8N127	O5AS1_HUMAN	reviewed	Olfactory receptor 5AS1 (Olfactory receptor OR11-168)	OR5AS1	Homo sapiens (Human)	324
OR8I2	Q8N0Y5	OR8I2_HUMAN	reviewed	Olfactory receptor 8I2 (Olfactory receptor OR11-170)	OR8I2	Homo sapiens (Human)	310
OR8J3	Q8NGG0	OR8J3_HUMAN	reviewed	Olfactory receptor 8J3 (Olfactory receptor OR11-173)	OR8J3	Homo sapiens (Human)	315
OR5J2	Q8NH18	OR5J2_HUMAN	reviewed	Olfactory receptor 5J2 (Olfactory receptor OR11-266)	OR5J2	Homo sapiens (Human)	312
OR5T2	Q8NGG2	OR5T2_HUMAN	reviewed	Olfactory receptor 5T2 (Olfactory receptor OR11-177)	OR5T2	Homo sapiens (Human)	359
OR5T1	Q8NG75	OR5T1_HUMAN	reviewed	Olfactory receptor 5T1 (Olfactory receptor OR11-179)	OR5T1 OR5T1P	Homo sapiens (Human)	326
OR8K3	Q8NH51	OR8K3_HUMAN	reviewed	Olfactory receptor 8K3 (Olfactory receptor OR11-181)	OR8K3	Homo sapiens (Human)	312
OR8K1	Q8NGG5	OR8K1_HUMAN	reviewed	Olfactory receptor 8K1 (Olfactory receptor OR11-182)	OR8K1	Homo sapiens (Human)	319
OR8J1	Q8NGP2	OR8J1_HUMAN	reviewed	Olfactory receptor 8J1 (Olfactory receptor OR11-183)	OR8J1	Homo sapiens (Human)	316
OR5AL1	P0C617	O5AL1_HUMAN	reviewed	Olfactory receptor 5AL1 (Olfactory receptor OR11-184)	OR5AL1 OR5AL1P	Homo sapiens (Human)	329
OR5R1	Q8NH85	OR5R1_HUMAN	reviewed	Olfactory receptor 5R1 (Olfactory receptor OR11-185)	OR5R1 OR5R1P	Homo sapiens (Human)	324
OR5M9	Q8NGP3	OR5M9_HUMAN	reviewed	Olfactory receptor 5M9 (Olfactory receptor OR11-190)	OR5M9	Homo sapiens (Human)	310
OR5M3	Q8NGP4	OR5M3_HUMAN	reviewed	Olfactory receptor 5M3 (Olfactory receptor OR11-191)	OR5M3	Homo sapiens (Human)	307
OR5M11	Q96RB7	OR5MB_HUMAN	reviewed	Olfactory receptor 5M11	OR5M11	Homo sapiens (Human)	305
OR5M10	Q6IEU7	OR5MA_HUMAN	reviewed	Olfactory receptor 5M10 (Olfactory receptor OR11-207)	OR5M10	Homo sapiens (Human)	315
OR5M1	Q8NGP8	OR5M1_HUMAN	reviewed	Olfactory receptor 5M1 (OST050) (Olfactory receptor OR11-208)	OR5M1	Homo sapiens (Human)	315
OR5AR1	Q8NGP9	O5AR1_HUMAN	reviewed	Olfactory receptor 5AR1 (Olfactory receptor OR11-209)	OR5AR1	Homo sapiens (Human)	310
OR9G4	Q8NGQ1	OR9G4_HUMAN	reviewed	Olfactory receptor 9G4 (Olfactory receptor OR11-216)	OR9G4	Homo sapiens (Human)	327
OR5AK2	Q8NH90	O5AK2_HUMAN	reviewed	Olfactory receptor 5AK2	OR5AK2	Homo sapiens (Human)	309
APLNR	P35414	APJ_HUMAN	reviewed	Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (G-protein coupled receptor HG11)	APLNR AGTRL1 APJ	Homo sapiens (Human)	380
TNKS1BP1	Q9C0C2	TB182_HUMAN	reviewed	182 kDa tankyrase-1-binding protein	TNKS1BP1 KIAA1741 TAB182	Homo sapiens (Human)	1729
P2RX3	P56373	P2RX3_HUMAN	reviewed	P2X purinoceptor 3 (P2X3) (ATP receptor) (Purinergic receptor)	P2RX3	Homo sapiens (Human)	397
PRG3	Q8TBJ4	PLPR1_HUMAN	reviewed	Phospholipid phosphatase-related protein type 1 (Lipid phosphate phosphatase-related protein type 1) (Plasticity-related gene 3 protein) (PRG-3)	PLPPR1 LPPR1 PRG3	Homo sapiens (Human)	325
AIFM2,PRG3	Q9BRQ8	FSP1_HUMAN	reviewed	Ferroptosis suppressor protein 1 (FSP1) (EC 1.6.5.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (AMID) (p53-responsive gene 3 protein)	AIFM2 AMID PRG3	Homo sapiens (Human)	373
PRG3	Q9Y2Y8	PRG3_HUMAN	reviewed	Proteoglycan 3 (Eosinophil major basic protein homolog) (Prepro-major basic protein homolog) (Prepro-MBPH)	PRG3 MBPH UNQ486/PRO1002	Homo sapiens (Human)	225
PRG2	Q6T4P5	PLPR3_HUMAN	reviewed	Phospholipid phosphatase-related protein type 3 (EC 3.1.3.4) (Lipid phosphate phosphatase-related protein type 3) (PAP-2-like protein 2) (Plasticity-related gene 2 protein) (PRG-2)	PLPPR3 LPPR3 PHP2 PRG2	Homo sapiens (Human)	718
PXDN,PRG2	Q92626	PXDN_HUMAN	reviewed	Peroxidasin homolog (EC 1.11.1.7) (Melanoma-associated antigen MG50) (Vascular peroxidase 1) (p53-responsive gene 2 protein)	PXDN KIAA0230 MG50 PRG2 VPO VPO1	Homo sapiens (Human)	1479
SLC43A3	Q8NBI5	S43A3_HUMAN	reviewed	Solute carrier family 43 member 3 (Protein FOAP-13)	SLC43A3 PSEC0252	Homo sapiens (Human)	491
SLC43A1	O75387	LAT3_HUMAN	reviewed	Large neutral amino acids transporter small subunit 3 (L-type amino acid transporter 3) (Prostate cancer overexpressed gene 1 protein) (Solute carrier family 43 member 1)	SLC43A1 LAT3 PB39 POV1	Homo sapiens (Human)	559
SMTNL1	A8MU46	SMTL1_HUMAN	reviewed	Smoothelin-like protein 1	SMTNL1	Homo sapiens (Human)	494
CTNND1	O60716	CTND1_HUMAN	reviewed	Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))	CTNND1 KIAA0384	Homo sapiens (Human)	968
OR6Q1	Q8NGQ2	OR6Q1_HUMAN	reviewed	Olfactory receptor 6Q1 (Olfactory receptor OR11-226)	OR6Q1	Homo sapiens (Human)	317
OR9Q2	Q8NGE9	OR9Q2_HUMAN	reviewed	Olfactory receptor 9Q2	OR9Q2 OR9Q2P	Homo sapiens (Human)	314
OR10Q1	Q8NGQ4	O10Q1_HUMAN	reviewed	Olfactory receptor 10Q1 (Olfactory receptor OR11-233)	OR10Q1	Homo sapiens (Human)	319
OR5B3	Q8NH48	OR5B3_HUMAN	reviewed	Olfactory receptor 5B3 (Olfactory receptor 5B13) (Olfactory receptor OR11-239)	OR5B3 OR5B13	Homo sapiens (Human)	314
OR5B12	Q96R08	OR5BC_HUMAN	reviewed	Olfactory receptor 5B12 (Olfactory receptor 5B16) (Olfactory receptor OR11-241)	OR5B12 OR5B12P OR5B16	Homo sapiens (Human)	314
LPXN	O60711	LPXN_HUMAN	reviewed	Leupaxin	LPXN LDLP	Homo sapiens (Human)	386
CAT,GLYAT	Q6IB77	GLYAT_HUMAN	reviewed	Glycine N-acyltransferase (EC 2.3.1.13) (Acyl-CoA:glycine N-acyltransferase) (AAc) (Aralkyl acyl-CoA N-acyltransferase) (Aralkyl acyl-CoA:amino acid N-acyltransferase) (Benzoyl-coenzyme A:glycine N-acyltransferase) (Glycine N-benzoyltransferase) (EC 2.3.1.71) (HRP-1(CLP))	GLYAT ACGNAT CAT GAT	Homo sapiens (Human)	296
OR5AN1	Q8NGI8	O5AN1_HUMAN	reviewed	Olfactory receptor 5AN1 (Olfactory receptor OR11-244)	OR5AN1	Homo sapiens (Human)	311
OR5A1	Q8NGJ0	OR5A1_HUMAN	reviewed	Olfactory receptor 5A1 (OST181) (Olfactory receptor OR11-249)	OR5A1 OR5A1P	Homo sapiens (Human)	315
OR4D6	Q8NGJ1	OR4D6_HUMAN	reviewed	Olfactory receptor 4D6 (Olfactory receptor OR11-250)	OR4D6	Homo sapiens (Human)	314
OR4D9	Q8NGE8	OR4D9_HUMAN	reviewed	Olfactory receptor 4D9 (Olfactory receptor OR11-253)	OR4D9	Homo sapiens (Human)	314
OR10V1	Q8NGI7	O10V1_HUMAN	reviewed	Olfactory receptor 10V1 (Olfactory receptor OR11-256)	OR10V1	Homo sapiens (Human)	309
OOSP2	Q86WS3	OOSP2_HUMAN	reviewed	Oocyte-secreted protein 2 (Placenta-specific 1-like protein) (Protein TMEM122)	OOSP2 PLAC1L TMEM122	Homo sapiens (Human)	158
MS4A4A	Q96JQ5	M4A4A_HUMAN	reviewed	Membrane-spanning 4-domains subfamily A member 4A (CD20 antigen-like 1) (Four-span transmembrane protein 1)	MS4A4A 4SPAN1 CD20L1 MS4A4 HDCME31P	Homo sapiens (Human)	239
MS4A7	Q9GZW8	MS4A7_HUMAN	reviewed	Membrane-spanning 4-domains subfamily A member 7 (CD20 antigen-like 4) (CD20/FC-epsilon-RI-beta family member 4) (Four-span transmembrane protein 2)	MS4A7 4SPAN2 CD20L4 CFFM4	Homo sapiens (Human)	240
MS4A5	Q9H3V2	MS4A5_HUMAN	reviewed	Membrane-spanning 4-domains subfamily A member 5 (CD20 antigen-like 2) (Testis-expressed transmembrane protein 4)	MS4A5 CD20L2 TETM4	Homo sapiens (Human)	200
MS4A12	Q9NXJ0	M4A12_HUMAN	reviewed	Membrane-spanning 4-domains subfamily A member 12	MS4A12	Homo sapiens (Human)	267
MS4A13	Q5J8X5	M4A13_HUMAN	reviewed	Membrane-spanning 4-domains subfamily A member 13 (Testis-expressed transmembrane protein 4)	MS4A13	Homo sapiens (Human)	152
MS4A14,MS4A13	Q96JA4	M4A14_HUMAN	reviewed	Membrane-spanning 4-domains subfamily A member 14 (Testis development protein NYD-SP21)	MS4A14 MS4A13 MS4A16	Homo sapiens (Human)	679
LINC00301	Q8NCQ3	NC301_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00301	LINC00301 C11orf64 NCRNA00301	Homo sapiens (Human)	95
MS4A15	Q8N5U1	M4A15_HUMAN	reviewed	Membrane-spanning 4-domains subfamily A member 15	MS4A15	Homo sapiens (Human)	240
CCDC86	Q9H6F5	CCD86_HUMAN	reviewed	Coiled-coil domain-containing protein 86 (Cytokine-induced protein with coiled-coil domain)	CCDC86 CYCLON	Homo sapiens (Human)	360
PTGDR2	Q9Y5Y4	PD2R2_HUMAN	reviewed	Prostaglandin D2 receptor 2 (Chemoattractant receptor-homologous molecule expressed on Th2 cells) (G-protein coupled receptor 44) (CD antigen CD294)	PTGDR2 CRTH2 DL1R GPR44	Homo sapiens (Human)	395
ZP1	P60852	ZP1_HUMAN	reviewed	Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1) (Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1]	ZP1	Homo sapiens (Human)	638
PRPF19	Q9UMS4	PRP19_HUMAN	reviewed	Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (hPso4) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor)	PRPF19 NMP200 PRP19 SNEV	Homo sapiens (Human)	504
TMEM109	Q9BVC6	TM109_HUMAN	reviewed	Transmembrane protein 109 (Mitsugumin-23) (Mg23)	TMEM109	Homo sapiens (Human)	243
TMEM132A	Q24JP5	T132A_HUMAN	reviewed	Transmembrane protein 132A (HSPA5-binding protein 1)	TMEM132A HSPA5BP1 KIAA1583	Homo sapiens (Human)	1023
SLC15A3	Q8IY34	S15A3_HUMAN	reviewed	Solute carrier family 15 member 3 (Osteoclast transporter) (Peptide transporter 3) (Peptide/histidine transporter 2)	SLC15A3 OCTP PHT2 PTR3	Homo sapiens (Human)	581
CD6	P30203	CD6_HUMAN	reviewed	T-cell differentiation antigen CD6 (T12) (TP120) (CD antigen CD6) [Cleaved into: Soluble CD6]	CD6	Homo sapiens (Human)	668
CD5	P06127	CD5_HUMAN	reviewed	T-cell surface glycoprotein CD5 (Lymphocyte antigen T1/Leu-1) (CD antigen CD5)	CD5 LEU1	Homo sapiens (Human)	495
TMEM216	Q9P0N5	TM216_HUMAN	reviewed	Transmembrane protein 216	TMEM216 HSPC244	Homo sapiens (Human)	145
CPSF7	Q8N684	CPSF7_HUMAN	reviewed	Cleavage and polyadenylation specificity factor subunit 7 (Cleavage and polyadenylation specificity factor 59 kDa subunit) (CPSF 59 kDa subunit) (Cleavage factor Im complex 59 kDa subunit) (CFIm59) (Pre-mRNA cleavage factor Im 59 kDa subunit)	CPSF7	Homo sapiens (Human)	471
PPP1R32	Q7Z5V6	PPR32_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 32	PPP1R32 C11orf66	Homo sapiens (Human)	425
MYRF	Q9Y2G1	MYRF_HUMAN	reviewed	Myelin regulatory factor (EC 3.4.-.-) (Myelin gene regulatory factor) [Cleaved into: Myelin regulatory factor, N-terminal; Myelin regulatory factor, C-terminal]	MYRF C11orf9 KIAA0954 MRF	Homo sapiens (Human)	1151
FADS3	Q9Y5Q0	FADS3_HUMAN	reviewed	Fatty acid desaturase 3 (EC 1.14.19.-) (Delta(13) fatty acid desaturase) (Delta(13) desaturase)	FADS3 CYB5RP	Homo sapiens (Human)	445
RAB3IL1	Q8TBN0	R3GEF_HUMAN	reviewed	Guanine nucleotide exchange factor for Rab-3A (Rab-3A-interacting-like protein 1) (Rab3A-interacting-like protein 1) (Rabin3-like 1)	RAB3IL1	Homo sapiens (Human)	382
BEST1	O76090	BEST1_HUMAN	reviewed	Bestrophin-1 (TU15B) (Vitelliform macular dystrophy protein 2)	BEST1 VMD2	Homo sapiens (Human)	585
INCENP	Q9NQS7	INCE_HUMAN	reviewed	Inner centromere protein	INCENP	Homo sapiens (Human)	918
ROM1	Q03395	ROM1_HUMAN	reviewed	Rod outer segment membrane protein 1 (ROSP1) (Tetraspanin-23) (Tspan-23)	ROM1 TSPAN23	Homo sapiens (Human)	351
INTS5	Q6P9B9	INT5_HUMAN	reviewed	Integrator complex subunit 5 (Int5)	INTS5 KIAA1698	Homo sapiens (Human)	1019
