yourlist:M20200502A94466D2655679D1FD8953E075198DA8958C1B8	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
FAM122A	Q96E09	F122A_HUMAN	reviewed	Protein FAM122A	FAM122A C9orf42	Homo sapiens (Human)	287
FXN	Q16595	FRDA_HUMAN	reviewed	Frataxin, mitochondrial (EC 1.16.3.1) (Friedreich ataxia protein) (Fxn) [Cleaved into: Frataxin intermediate form (i-FXN); Frataxin(56-210) (m56-FXN); Frataxin(78-210) (d-FXN) (m78-FXN); Frataxin mature form (Frataxin(81-210)) (m81-FXN)]	FXN FRDA X25	Homo sapiens (Human)	210
TJP2	Q9UDY2	ZO2_HUMAN	reviewed	Tight junction protein ZO-2 (Tight junction protein 2) (Zona occludens protein 2) (Zonula occludens protein 2)	TJP2 X104 ZO2	Homo sapiens (Human)	1190
MAMDC2	Q7Z304	MAMC2_HUMAN	reviewed	MAM domain-containing protein 2 (MAM domain-containing proteoglycan) (Mamcan)	MAMDC2	Homo sapiens (Human)	686
TRPM3	Q9HCF6	TRPM3_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 3 (Long transient receptor potential channel 3) (LTrpC-3) (LTrpC3) (Melastatin-2) (MLSN2)	TRPM3 KIAA1616 LTRPC3	Homo sapiens (Human)	1732
C9orf57	Q5W0N0	CI057_HUMAN	reviewed	Uncharacterized protein C9orf57	C9orf57	Homo sapiens (Human)	161
ZFAND5	O76080	ZFAN5_HUMAN	reviewed	AN1-type zinc finger protein 5 (Zinc finger A20 domain-containing protein 2) (Zinc finger protein 216)	ZFAND5 ZA20D2 ZNF216	Homo sapiens (Human)	213
ALDH1A1	P00352	AL1A1_HUMAN	reviewed	Retinal dehydrogenase 1 (RALDH 1) (RalDH1) (EC 1.2.1.-) (EC 1.2.1.36) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
RORB	Q92753	RORB_HUMAN	reviewed	Nuclear receptor ROR-beta (Nuclear receptor RZR-beta) (Nuclear receptor subfamily 1 group F member 2) (Retinoid-related orphan receptor-beta)	RORB NR1F2 RZRB	Homo sapiens (Human)	470
TRPM6	Q9BX84	TRPM6_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 6 (EC 2.7.11.1) (Channel kinase 2) (Melastatin-related TRP cation channel 6)	TRPM6 CHAK2	Homo sapiens (Human)	2022
C9orf40	Q8IXQ3	CI040_HUMAN	reviewed	Uncharacterized protein C9orf40	C9orf40	Homo sapiens (Human)	194
NMRK1	Q9NWW6	NRK1_HUMAN	reviewed	Nicotinamide riboside kinase 1 (NRK 1) (NmR-K 1) (EC 2.7.1.22) (Nicotinic acid riboside kinase 1) (EC 2.7.1.173) (Ribosylnicotinamide kinase 1) (RNK 1) (Ribosylnicotinic acid kinase 1)	NMRK1 C9orf95 NRK1	Homo sapiens (Human)	199
OSTF1	Q92882	OSTF1_HUMAN	reviewed	Osteoclast-stimulating factor 1	OSTF1	Homo sapiens (Human)	214
PCSK5	Q92824	PCSK5_HUMAN	reviewed	Proprotein convertase subtilisin/kexin type 5 (EC 3.4.21.-) (Proprotein convertase 5) (PC5) (Proprotein convertase 6) (PC6) (hPC6) (Subtilisin/kexin-like protease PC5)	PCSK5 PC5 PC6	Homo sapiens (Human)	1860
RFK	Q969G6	RIFK_HUMAN	reviewed	Riboflavin kinase (EC 2.7.1.26) (ATP:riboflavin 5'-phosphotransferase) (Flavokinase)	RFK	Homo sapiens (Human)	155
PRUNE2	Q8WUY3	PRUN2_HUMAN	reviewed	Protein prune homolog 2 (BNIP2 motif-containing molecule at the C-terminal region 1)	PRUNE2 BMCC1 BNIPXL C9orf65 KIAA0367	Homo sapiens (Human)	3088
GNA14	O95837	GNA14_HUMAN	reviewed	Guanine nucleotide-binding protein subunit alpha-14 (G alpha-14) (G-protein subunit alpha-14)	GNA14	Homo sapiens (Human)	355
CEP78	Q5JTW2	CEP78_HUMAN	reviewed	Centrosomal protein of 78 kDa (Cep78)	CEP78 C9orf81	Homo sapiens (Human)	689
PSAT1	Q9Y617	SERC_HUMAN	reviewed	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	PSAT1 PSA	Homo sapiens (Human)	370
TLE1	Q04724	TLE1_HUMAN	reviewed	Transducin-like enhancer protein 1 (E(Sp1) homolog) (Enhancer of split groucho-like protein 1) (ESG1)	TLE1	Homo sapiens (Human)	770
FRMD3	A2A2Y4	FRMD3_HUMAN	reviewed	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)	FRMD3 EPB41L4O	Homo sapiens (Human)	597
UBQLN1	Q9UMX0	UBQL1_HUMAN	reviewed	Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)	UBQLN1 DA41 PLIC1	Homo sapiens (Human)	589
RMI1	Q9H9A7	RMI1_HUMAN	reviewed	RecQ-mediated genome instability protein 1 (BLM-associated protein of 75 kDa) (BLAP75) (FAAP75)	RMI1 C9orf76	Homo sapiens (Human)	625
SLC28A3	Q9HAS3	S28A3_HUMAN	reviewed	Solute carrier family 28 member 3 (Concentrative Na(+)-nucleoside cotransporter 3) (CNT 3) (hCNT3)	SLC28A3 CNT3	Homo sapiens (Human)	691
GOLM1	Q8NBJ4	GOLM1_HUMAN	reviewed	Golgi membrane protein 1 (Golgi membrane protein GP73) (Golgi phosphoprotein 2)	GOLM1 C9orf155 GOLPH2 PSEC0242 UNQ686/PRO1326	Homo sapiens (Human)	401
CTSL	P07711	CATL1_HUMAN	reviewed	Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain]	CTSL CTSL1	Homo sapiens (Human)	333
CTSL3P	Q5NE16	CATL3_HUMAN	reviewed	Putative inactive cathepsin L-like protein CTSL3P (Cathepsin L3 pseudogene) (HCTSL-s)	CTSL3P CTSL3	Homo sapiens (Human)	218
CDK20	Q8IZL9	CDK20_HUMAN	reviewed	Cyclin-dependent kinase 20 (EC 2.7.11.22) (CDK-activating kinase p42) (CAK-kinase p42) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42)	CDK20 CCRK CDCH	Homo sapiens (Human)	346
SHC3	Q92529	SHC3_HUMAN	reviewed	SHC-transforming protein 3 (Neuronal Shc) (N-Shc) (Protein Rai) (SHC-transforming protein C) (Src homology 2 domain-containing-transforming protein C3) (SH2 domain protein C3)	SHC3 NSHC SHCC	Homo sapiens (Human)	594
SYK	P43405	KSYK_HUMAN	reviewed	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635
ROR2	Q01974	ROR2_HUMAN	reviewed	Tyrosine-protein kinase transmembrane receptor ROR2 (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)	ROR2 NTRKR2	Homo sapiens (Human)	943
NOL8	Q76FK4	NOL8_HUMAN	reviewed	Nucleolar protein 8 (Nucleolar protein Nop132)	NOL8 C9orf34 NOP132	Homo sapiens (Human)	1167
ASPN	Q9BXN1	ASPN_HUMAN	reviewed	Asporin (Periodontal ligament-associated protein 1) (PLAP-1)	ASPN PLAP1 SLRR1C UNQ215/PRO241	Homo sapiens (Human)	380
ECM2	O94769	ECM2_HUMAN	reviewed	Extracellular matrix protein 2 (Matrix glycoprotein SC1/ECM2)	ECM2	Homo sapiens (Human)	699
CENPP	Q6IPU0	CENPP_HUMAN	reviewed	Centromere protein P (CENP-P)	CENPP	Homo sapiens (Human)	288
FGD3	Q5JSP0	FGD3_HUMAN	reviewed	FYVE, RhoGEF and PH domain-containing protein 3 (Zinc finger FYVE domain-containing protein 5)	FGD3 ZFYVE5	Homo sapiens (Human)	725
CARD19	Q96LW7	CAR19_HUMAN	reviewed	Caspase recruitment domain-containing protein 19 (Bcl10-interacting CARD protein) (BinCARD)	CARD19 C9orf89	Homo sapiens (Human)	228
NINJ1	Q92982	NINJ1_HUMAN	reviewed	Ninjurin-1 (Nerve injury-induced protein 1)	NINJ1	Homo sapiens (Human)	152
WNK2	Q9Y3S1	WNK2_HUMAN	reviewed	Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43)	WNK2 KIAA1760 PRKWNK2 SDCCAG43 P/OKcl.13	Homo sapiens (Human)	2297
C9orf129	Q5T035	CI129_HUMAN	reviewed	Putative uncharacterized protein C9orf129	C9orf129	Homo sapiens (Human)	196
FAM120AOS	Q5T036	F120S_HUMAN	reviewed	Uncharacterized protein FAM120AOS (FAM120A opposite strand protein)	FAM120AOS C9orf10OS	Homo sapiens (Human)	256
BARX1	Q9HBU1	BARX1_HUMAN	reviewed	Homeobox protein BarH-like 1	BARX1	Homo sapiens (Human)	254
PTCH1	Q13635	PTC1_HUMAN	reviewed	Protein patched homolog 1 (PTC) (PTC1)	PTCH1 PTCH	Homo sapiens (Human)	1447
LINC00476	Q8WZB0	CI130_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00476 (Nasopharyngeal carcinoma-associated gene 12 protein)	LINC00476 C9orf130 NAG12	Homo sapiens (Human)	136
ERCC6L2	Q5T890	ER6L2_HUMAN	reviewed	DNA excision repair protein ERCC-6-like 2 (EC 3.6.4.-) (DNA repair and recombination protein RAD26-like)	ERCC6L2 C9orf102 RAD26L	Homo sapiens (Human)	1561
HABP4	Q5JVS0	HABP4_HUMAN	reviewed	Intracellular hyaluronan-binding protein 4 (IHABP-4) (IHABP4) (Hyaluronan-binding protein 4) (Ki-1/57 intracellular antigen)	HABP4	Homo sapiens (Human)	413
CCDC180	Q9P1Z9	CC180_HUMAN	reviewed	Coiled-coil domain-containing protein 180	CCDC180 C9orf174 KIAA1529	Homo sapiens (Human)	1701
TDRD7	Q8NHU6	TDRD7_HUMAN	reviewed	Tudor domain-containing protein 7 (PCTAIRE2-binding protein) (Tudor repeat associator with PCTAIRE-2) (Trap)	TDRD7 PCTAIRE2BP	Homo sapiens (Human)	1098
TSTD2	Q5T7W7	TSTD2_HUMAN	reviewed	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2 (Rhodanese domain-containing protein 2)	TSTD2 C9orf97 PP4189	Homo sapiens (Human)	516
TTF2,FOXE1	O00358	FOXE1_HUMAN	reviewed	Forkhead box protein E1 (Forkhead box protein E2) (Forkhead-related protein FKHL15) (HFKH4) (HNF-3/fork head-like protein 5) (HFKL5) (Thyroid transcription factor 2) (TTF-2)	FOXE1 FKHL15 FOXE2 TITF2 TTF2	Homo sapiens (Human)	373
TRMO	Q9BU70	TRMO_HUMAN	reviewed	tRNA (adenine(37)-N6)-methyltransferase (EC 2.1.1.-) (tRNA methyltransferase O)	TRMO C9orf156 HSPC219	Homo sapiens (Human)	441
NANS	Q9NR45	SIAS_HUMAN	reviewed	Sialic acid synthase (N-acetylneuraminate synthase) (EC 2.5.1.56) (N-acetylneuraminate-9-phosphate synthase) (EC 2.5.1.57) (N-acetylneuraminic acid phosphate synthase) (N-acetylneuraminic acid synthase)	NANS SAS	Homo sapiens (Human)	359
GABBR2	O75899	GABR2_HUMAN	reviewed	Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20)	GABBR2 GPR51 GPRC3B	Homo sapiens (Human)	941
ANKS6	Q68DC2	ANKS6_HUMAN	reviewed	Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6)	ANKS6 ANKRD14 PKDR1 SAMD6	Homo sapiens (Human)	871
COL15A1	P39059	COFA1_HUMAN	reviewed	Collagen alpha-1(XV) chain [Cleaved into: Restin (Endostatin-XV) (Related to endostatin) (Restin-I); Restin-2 (Restin-II); Restin-3 (Restin-III); Restin-4 (Restin-IV)]	COL15A1	Homo sapiens (Human)	1388
TGFBR1	P36897	TGFR1_HUMAN	reviewed	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4	Homo sapiens (Human)	503
TEC,NR4A3	Q92570	NR4A3_HUMAN	reviewed	Nuclear receptor subfamily 4 group A member 3 (Mitogen-induced nuclear orphan receptor) (Neuron-derived orphan receptor 1) (Nuclear hormone receptor NOR-1)	NR4A3 CHN CSMF MINOR NOR1 TEC	Homo sapiens (Human)	626
TEX10	Q9NXF1	TEX10_HUMAN	reviewed	Testis-expressed protein 10	TEX10 L18 Nbla10363	Homo sapiens (Human)	929
TMEFF1	Q8IYR6	TEFF1_HUMAN	reviewed	Tomoregulin-1 (TR-1) (H7365) (Transmembrane protein with EGF-like and one follistatin-like domain)	TMEFF1 C9orf2	Homo sapiens (Human)	380
BAAT	Q14032	BAAT_HUMAN	reviewed	Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC 2.3.1.65) (Bile acid-CoA thioesterase) (Choloyl-CoA hydrolase) (EC 3.1.2.27) (Glycine N-choloyltransferase) (Long-chain fatty-acyl-CoA hydrolase) (EC 3.1.2.2)	BAAT	Homo sapiens (Human)	418
MRPL50	Q8N5N7	RM50_HUMAN	reviewed	39S ribosomal protein L50, mitochondrial (L50mt) (MRP-L50) (Mitochondrial large ribosomal subunit protein mL50)	MRPL50	Homo sapiens (Human)	158
GRIN3A	Q8TCU5	NMD3A_HUMAN	reviewed	Glutamate receptor ionotropic, NMDA 3A (GluN3A) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L)	GRIN3A KIAA1973	Homo sapiens (Human)	1115
LINC00587	B1AMM8	CI107_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00587	LINC00587 C9orf107	Homo sapiens (Human)	73
OR13F1	Q8NGS4	O13F1_HUMAN	reviewed	Olfactory receptor 13F1 (Olfactory receptor OR9-6)	OR13F1	Homo sapiens (Human)	319
OR13C4	Q8NGS5	O13C4_HUMAN	reviewed	Olfactory receptor 13C4 (Olfactory receptor OR9-7)	OR13C4	Homo sapiens (Human)	318
OR13C8	Q8NGS7	O13C8_HUMAN	reviewed	Olfactory receptor 13C8	OR13C8	Homo sapiens (Human)	320
OR13D1	Q8NGV5	O13D1_HUMAN	reviewed	Olfactory receptor 13D1 (Olfactory receptor OR9-15)	OR13D1	Homo sapiens (Human)	346
NIPSNAP3A	Q9UFN0	NPS3A_HUMAN	reviewed	Protein NipSnap homolog 3A (NipSnap3A) (Protein NipSnap homolog 4) (NipSnap4) (Target for Salmonella secreted protein C) (TassC)	NIPSNAP3A NIPSNAP4 HSPC299	Homo sapiens (Human)	247
SLC44A1	Q8WWI5	CTL1_HUMAN	reviewed	Choline transporter-like protein 1 (CDw92) (Solute carrier family 44 member 1) (CD antigen CD92)	SLC44A1 CD92 CDW92 CTL1	Homo sapiens (Human)	657
FKTN	O75072	FKTN_HUMAN	reviewed	Fukutin (EC 2.4.2.-) (Fukuyama-type congenital muscular dystrophy protein) (Ribitol-5-phosphate transferase)	FKTN FCMD	Homo sapiens (Human)	461
RAD23B	P54727	RD23B_HUMAN	reviewed	UV excision repair protein RAD23 homolog B (HR23B) (hHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58)	RAD23B	Homo sapiens (Human)	409
KLF4	O43474	KLF4_HUMAN	reviewed	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor)	KLF4 EZF GKLF	Homo sapiens (Human)	513
TMEM245	Q9H330	TM245_HUMAN	reviewed	Transmembrane protein 245 (Protein CG-2)	TMEM245 C9orf5	Homo sapiens (Human)	879
FRRS1L	Q9P0K9	FRS1L_HUMAN	reviewed	DOMON domain-containing protein FRRS1L (Brain protein CG-6) (Ferric-chelate reductase 1-like protein)	FRRS1L C9orf4	Homo sapiens (Human)	344
EPB41L4B	Q9H329	E41LB_HUMAN	reviewed	Band 4.1-like protein 4B (FERM-containing protein CG1) (Protein EHM2)	EPB41L4B EHM2 LULU2	Homo sapiens (Human)	900
PTPN3	P26045	PTN3_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase H1) (PTP-H1)	PTPN3 PTPH1	Homo sapiens (Human)	913
AKAP2	Q9Y2D5	AKAP2_HUMAN	reviewed	A-kinase anchor protein 2 (AKAP-2) (AKAP-KL) (Protein kinase A-anchoring protein 2) (PRKA2)	AKAP2 KIAA0920 PRKA2	Homo sapiens (Human)	859
C9orf152	Q5JTZ5	CI152_HUMAN	reviewed	Uncharacterized protein C9orf152	C9orf152	Homo sapiens (Human)	239
SVEP1	Q4LDE5	SVEP1_HUMAN	reviewed	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)	SVEP1 C9orf13 CCP22 SELOB	Homo sapiens (Human)	3571
OR2K2	Q8NGT1	OR2K2_HUMAN	reviewed	Olfactory receptor 2K2 (HTPCRH06) (Olfactory receptor OR9-17)	OR2K2 OR2AR1P	Homo sapiens (Human)	316
KIAA0368	Q5VYK3	ECM29_HUMAN	reviewed	Proteasome adapter and scaffold protein ECM29 (Ecm29 proteasome adapter and scaffold) (Proteasome-associated protein ECM29 homolog)	ECPAS ECM29 KIAA0368	Homo sapiens (Human)	1845
PTGR1	Q14914	PTGR1_HUMAN	reviewed	Prostaglandin reductase 1 (PRG-1) (EC 1.3.1.-) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (NADP-dependent leukotriene B4 12-hydroxydehydrogenase) (EC 1.3.1.74)	PTGR1 LTB4DH	Homo sapiens (Human)	329
C9orf84	Q5VXU9	SHOC1_HUMAN	reviewed	Protein shortage in chiasmata 1 ortholog (EC 3.6.-.-)	SHOC1 C9orf84	Homo sapiens (Human)	1444
UGCG	Q16739	CEGT_HUMAN	reviewed	Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase)	UGCG	Homo sapiens (Human)	394
PTBP3	O95758	PTBP3_HUMAN	reviewed	Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)	PTBP3 ROD1	Homo sapiens (Human)	552
SNX30	Q5VWJ9	SNX30_HUMAN	reviewed	Sorting nexin-30	SNX30	Homo sapiens (Human)	437
SNX30	Q8WV41	SNX33_HUMAN	reviewed	Sorting nexin-33 (SH3 and PX domain-containing protein 3)	SNX33 SH3PX3 SH3PXD3C SNX30	Homo sapiens (Human)	574
SLC46A2	Q9BY10	TSCOT_HUMAN	reviewed	Thymic stromal cotransporter homolog (Solute carrier family 46 member 2)	SLC46A2 TSCOT	Homo sapiens (Human)	475
ZFP37	Q9Y6Q3	ZFP37_HUMAN	reviewed	Zinc finger protein 37 homolog (Zfp-37)	ZFP37	Homo sapiens (Human)	630
SLC31A2	O15432	COPT2_HUMAN	reviewed	Probable low affinity copper uptake protein 2 (Copper transporter 2) (hCTR2) (Solute carrier family 31 member 2)	SLC31A2 COPT2 CTR2	Homo sapiens (Human)	143
FKBP15	Q5T1M5	FKB15_HUMAN	reviewed	FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL)	FKBP15 KIAA0674	Homo sapiens (Human)	1219
WDR31	Q8NA23	WDR31_HUMAN	reviewed	WD repeat-containing protein 31	WDR31	Homo sapiens (Human)	367
BSPRY	Q5W0U4	BSPRY_HUMAN	reviewed	B box and SPRY domain-containing protein	BSPRY	Homo sapiens (Human)	402
HDHD3	Q9BSH5	HDHD3_HUMAN	reviewed	Haloacid dehalogenase-like hydrolase domain-containing protein 3	HDHD3 C9orf158	Homo sapiens (Human)	251
RGS3	P49796	RGS3_HUMAN	reviewed	Regulator of G-protein signaling 3 (RGP3) (RGS3)	RGS3	Homo sapiens (Human)	1198
ZNF618	Q5T7W0	ZN618_HUMAN	reviewed	Zinc finger protein 618	ZNF618 KIAA1952	Homo sapiens (Human)	954
COL27A1	Q8IZC6	CORA1_HUMAN	reviewed	Collagen alpha-1(XXVII) chain	COL27A1 KIAA1870	Homo sapiens (Human)	1860
WHRN	Q9P202	WHRN_HUMAN	reviewed	Whirlin (Autosomal recessive deafness type 31 protein)	WHRN DFNB31 KIAA1526	Homo sapiens (Human)	907
TEX48	A0A1B0GUV7	TEX48_HUMAN	reviewed	Testis-expressed protein 48	TEX48	Homo sapiens (Human)	120
TNC	P24821	TENA_HUMAN	reviewed	Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)	TNC HXB	Homo sapiens (Human)	2201
LINC00474	Q9P2X8	CI027_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00474 (Protein EST-YD1)	LINC00474 C9orf27	Homo sapiens (Human)	69
PAPPA-AS1	Q5QFB9	PAPAS_HUMAN	reviewed	Protein PAPPAS (DIPLA1 antisense RNA 1) (DIPLA1 antisense gene protein 1) (DIPLA1-antisense expressed) (PAPPAS antisense RNA 1) (PAPPAS antisense gene protein 1) (PAPPAS-antisense expressed)	PAPPA-AS1 DIPAS PAPPAS	Homo sapiens (Human)	102
BRINP1	O60477	BRNP1_HUMAN	reviewed	BMP/retinoic acid-inducible neural-specific protein 1 (Deleted in bladder cancer protein 1)	BRINP1 DBC1 DBCCR1 FAM5A IB3089A	Homo sapiens (Human)	761
CDK5RAP2	Q96SN8	CK5P2_HUMAN	reviewed	CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)	CDK5RAP2 CEP215 KIAA1633	Homo sapiens (Human)	1893
MEGF9	Q9H1U4	MEGF9_HUMAN	reviewed	Multiple epidermal growth factor-like domains protein 9 (Multiple EGF-like domains protein 9) (Epidermal growth factor-like protein 5) (EGF-like protein 5)	MEGF9 EGFL5 KIAA0818 UNQ671/PRO1305	Homo sapiens (Human)	602
PSMD5	Q16401	PSMD5_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	PSMD5 KIAA0072	Homo sapiens (Human)	504
PHF19	Q5T6S3	PHF19_HUMAN	reviewed	PHD finger protein 19 (Polycomb-like protein 3) (hPCL3)	PHF19 PCL3	Homo sapiens (Human)	580
TRAF1	Q13077	TRAF1_HUMAN	reviewed	TNF receptor-associated factor 1 (Epstein-Barr virus-induced protein 6)	TRAF1 EBI6	Homo sapiens (Human)	416
CNTRL	Q7Z7A1	CNTRL_HUMAN	reviewed	Centriolin (Centrosomal protein 1) (Centrosomal protein of 110 kDa) (Cep110)	CNTRL CEP1 CEP110	Homo sapiens (Human)	2325
GSN-AS1	Q9NRJ2	GSAS1_HUMAN	reviewed	Putative uncharacterized protein GSN-AS1 (GSN antisense RNA 1) (GSN antisense gene protein 1) (Protein MOST-2)	GSN-AS1 C9orf31 MOST2	Homo sapiens (Human)	163
STOM	P27105	STOM_HUMAN	reviewed	Erythrocyte band 7 integral membrane protein (Protein 7.2b) (Stomatin)	STOM BND7 EPB72	Homo sapiens (Human)	288
GGTA1P	Q4G0N0	GGTA1_HUMAN	reviewed	Inactive N-acetyllactosaminide alpha-1,3-galactosyltransferase (Glycoprotein alpha-galactosyltransferase 1 pseudogene)	GGTA1P GGTA1	Homo sapiens (Human)	100
TTLL11	Q8NHH1	TTL11_HUMAN	reviewed	Tubulin polyglutamylase TTLL11 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 11)	TTLL11 C9orf20	Homo sapiens (Human)	800
NDUFA8	P51970	NDUA8_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (Complex I-PGIV) (CI-PGIV) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	NDUFA8	Homo sapiens (Human)	172
PTGS1	P23219	PGH1_HUMAN	reviewed	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	PTGS1 COX1	Homo sapiens (Human)	599
OR1J1	Q8NGS3	OR1J1_HUMAN	reviewed	Olfactory receptor 1J1 (Olfactory receptor OR9-18)	OR1J1	Homo sapiens (Human)	322
OR1N1	Q8NGS0	OR1N1_HUMAN	reviewed	Olfactory receptor 1N1 (Olfactory receptor 1-26) (OR1-26) (Olfactory receptor 1N3) (Olfactory receptor OR9-22)	OR1N1 OR1N3	Homo sapiens (Human)	311
OR1N2	Q8NGR9	OR1N2_HUMAN	reviewed	Olfactory receptor 1N2 (Olfactory receptor OR9-23)	OR1N2	Homo sapiens (Human)	330
OR1L8	Q8NGR8	OR1L8_HUMAN	reviewed	Olfactory receptor 1L8 (Olfactory receptor OR9-24)	OR1L8	Homo sapiens (Human)	309
OR1Q1	Q15612	OR1Q1_HUMAN	reviewed	Olfactory receptor 1Q1 (OST226) (Olfactory receptor 1Q2) (Olfactory receptor 1Q3) (Olfactory receptor 9-A) (OR9-A) (Olfactory receptor OR9-25) (Olfactory receptor TPCR106)	OR1Q1 OR1Q2 OR1Q3	Homo sapiens (Human)	314
OR1B1	Q8NGR6	OR1B1_HUMAN	reviewed	Olfactory receptor 1B1 (Olfactory receptor 9-B) (OR9-B) (Olfactory receptor OR9-26)	OR1B1	Homo sapiens (Human)	318
OR1L4	Q8NGR5	OR1L4_HUMAN	reviewed	Olfactory receptor 1L4 (OST046) (Olfactory receptor 1L5) (Olfactory receptor 9-E) (OR9-E) (Olfactory receptor OR9-29)	OR1L4 OR1L5	Homo sapiens (Human)	311
OR1L6	Q8NGR2	OR1L6_HUMAN	reviewed	Olfactory receptor 1L6 (Olfactory receptor 1L7) (Olfactory receptor OR9-30)	OR1L6 OR1L7	Homo sapiens (Human)	347
OR1K1	Q8NGR3	OR1K1_HUMAN	reviewed	Olfactory receptor 1K1	OR1K1	Homo sapiens (Human)	316
RC3H2	Q9HBD1	RC3H2_HUMAN	reviewed	Roquin-2 (EC 2.3.2.27) (Membrane-associated nucleic acid-binding protein) (RING finger and CCCH-type zinc finger domain-containing protein 2) (RING finger protein 164) (RING-type E3 ubiquitin transferase Roquin-2)	RC3H2 MNAB RNF164	Homo sapiens (Human)	1191
STRBP	Q96SI9	STRBP_HUMAN	reviewed	Spermatid perinuclear RNA-binding protein	STRBP SPNR	Homo sapiens (Human)	672
CRB2	Q5IJ48	CRUM2_HUMAN	reviewed	Protein crumbs homolog 2 (Crumbs-like protein 2)	CRB2	Homo sapiens (Human)	1285
DENND1A	Q8TEH3	DEN1A_HUMAN	reviewed	DENN domain-containing protein 1A (Connecdenn 1) (Connecdenn) (Protein FAM31A)	DENND1A FAM31A KIAA1608	Homo sapiens (Human)	1009
